number_of_rules	number_of_states mem_usage(bytes)	build_time
2000	172791	16605712	0m0.699s
4000	299107	29673392	0m0.975s
6000	381689	39415928	0m1.241s
8000	442436	47498332	0m1.518s
10000	507085	55877912	0m1.846s
12000	569541	64090632	0m2.275s
14000	626602	71892164	0m2.779s
16000	705888	81383516	0m3.524s
18000	848296	95675356	0m4.650s
20000	932876	105569388	0m5.814s
22000	1044534	117522036	0m7.458s
24000	1193982	132349924	0m9.398s
26000	1367943	149048576	0m12.243s
28000	1550981	166438120	0m15.462s
30000	1758612	185689212	0m18.786s
32000	1954102	204014996	0m22.291s
34000	2180677	224706536	0m26.452s
36000	2409092	245540796	0m31.119s
38000	2660342	268108644	0m35.890s
40000	2895388	289445276	0m41.019s
42000	3128156	310608012	0m46.651s
44000	3354406	331276196	0m52.904s
46000	3573200	351378300	0m59.055s
48000	3786735	371079792	1m5.464s
50000	4028733	392944360	1m12.269s
52000	4224270	411274788	1m19.363s
54000	4409476	428822188	1m26.187s
56000	4612420	447716140	1m35.838s
58000	4863734	470285108	1m41.106s
60000	5107373	492273480	1m47.787s
62000	5321206	511997988	1m57.692s
64000	5516491	530311472	2m6.815s
66000	5683619	546480560	2m14.427s
68000	5826344	560793020	2m22.664s
70000	6013362	578474404	2m32.648s
72000	6127809	590632120	2m40.238s
74000	6269599	604881344	2m50.150s
76000	6509500	626589900	3m0.262s
78000	6750393	648365304	3m10.524s
80000	6995076	670430028	3m22.080s
82000	7236803	692270016	3m31.868s
84000	7487276	714777068	3m42.750s
86000	7685613	733319992	3m54.425s
88000	7883590	751838628	4m6.166s
90000	7991263	763487088	4m16.822s
92000	8122994	776964180	4m26.831s
94000	8413562	802515892	4m34.736s
96000	8629330	822372740	4m51.208s
